IF set: {'37'}  THEN set: {'1'}  CONFIDENCE: 0.9362745098039216
IF set: {'17'}  THEN set: {'11'}  CONFIDENCE: 0.696
IF set: {'60', '17'}  THEN set: {'104'}  CONFIDENCE: 1.0
IF set: {'17', '104'}  THEN set: {'60'}  CONFIDENCE: 0.9086294416243654
IF set: {'17', '105'}  THEN set: {'104'}  CONFIDENCE: 1.0
IF set: {'104'}  THEN set: {'60'}  CONFIDENCE: 0.8812980358667806
IF set: {'105'}  THEN set: {'104'}  CONFIDENCE: 0.6747376916868443
IF set: {'88'}  THEN set: {'25'}  CONFIDENCE: 0.7153846153846154
IF set: {'33', '93'}  THEN set: {'38'}  CONFIDENCE: 0.8900523560209425
IF set: {'38', '33'}  THEN set: {'93'}  CONFIDENCE: 0.8173076923076923
IF set: {'33', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.7522123893805309
IF set: {'92', '33'}  THEN set: {'93', '14'}  CONFIDENCE: 0.8808290155440415
IF set: {'93', '33', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9444444444444444
IF set: {'92', '33', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9139784946236559
IF set: {'92', '33', '93'}  THEN set: {'14'}  CONFIDENCE: 0.9770114942528736
IF set: {'33'}  THEN set: {'93', '14'}  CONFIDENCE: 0.6691449814126395
IF set: {'38', '33', '14'}  THEN set: {'93'}  CONFIDENCE: 0.8173076923076923
IF set: {'38', '33', '93'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'48', '33'}  THEN set: {'38', '93'}  CONFIDENCE: 0.8056872037914692
IF set: {'48', '33', '93'}  THEN set: {'38'}  CONFIDENCE: 0.9239130434782609
IF set: {'48', '38', '33'}  THEN set: {'93'}  CONFIDENCE: 0.9444444444444444
IF set: {'92', '48', '33'}  THEN set: {'93'}  CONFIDENCE: 0.9139784946236559
IF set: {'48', '33', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9067357512953368
IF set: {'39', '33'}  THEN set: {'92', '48', '93'}  CONFIDENCE: 0.7623318385650224
IF set: {'39', '33', '93'}  THEN set: {'92', '48'}  CONFIDENCE: 0.9139784946236559
IF set: {'48', '39', '33'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8415841584158416
IF set: {'92', '39', '33'}  THEN set: {'48', '93'}  CONFIDENCE: 0.8808290155440415
IF set: {'92', '48', '33', '93'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'48', '39', '33', '93'}  THEN set: {'92'}  CONFIDENCE: 0.9392265193370166
IF set: {'92', '39', '33', '93'}  THEN set: {'48'}  CONFIDENCE: 0.9770114942528736
IF set: {'92', '48', '39', '33'}  THEN set: {'93'}  CONFIDENCE: 0.9139784946236559
IF set: {'39', '33', '14'}  THEN set: {'48', '93'}  CONFIDENCE: 0.8293838862559242
IF set: {'93', '48', '33', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'93', '39', '33', '14'}  THEN set: {'48'}  CONFIDENCE: 0.9722222222222222
IF set: {'48', '39', '33', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9067357512953368
IF set: {'39', '38', '33'}  THEN set: {'93'}  CONFIDENCE: 0.8673469387755102
IF set: {'86', '33'}  THEN set: {'38', '93'}  CONFIDENCE: 0.6967213114754098
IF set: {'86', '33', '93'}  THEN set: {'38'}  CONFIDENCE: 0.8994708994708994
IF set: {'86', '38', '33'}  THEN set: {'93'}  CONFIDENCE: 0.8173076923076923
IF set: {'86', '33', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.7522123893805309
IF set: {'92', '86', '33'}  THEN set: {'93', '14'}  CONFIDENCE: 0.8808290155440415
IF set: {'93', '86', '33', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9444444444444444
IF set: {'93', '33', '14', '92'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'92', '86', '33', '93'}  THEN set: {'14'}  CONFIDENCE: 0.9770114942528736
IF set: {'92', '86', '33', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9139784946236559
IF set: {'48', '86', '33'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8056872037914692
IF set: {'48', '86', '33', '93'}  THEN set: {'92'}  CONFIDENCE: 0.9239130434782609
IF set: {'92', '48', '86', '33'}  THEN set: {'93'}  CONFIDENCE: 0.9139784946236559
IF set: {'48', '86', '33', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9067357512953368
IF set: {'39', '86', '33'}  THEN set: {'92', '48', '93'}  CONFIDENCE: 0.7623318385650224
IF set: {'39', '86', '33', '93'}  THEN set: {'92', '48'}  CONFIDENCE: 0.9139784946236559
IF set: {'39', '48', '86', '33'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8415841584158416
IF set: {'92', '39', '86', '33'}  THEN set: {'48', '93'}  CONFIDENCE: 0.8808290155440415
IF set: {'48', '93', '92', '86', '33'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'48', '93', '39', '86', '33'}  THEN set: {'92'}  CONFIDENCE: 0.9392265193370166
IF set: {'48', '93', '92', '39', '33'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'93', '92', '39', '86', '33'}  THEN set: {'48'}  CONFIDENCE: 0.9770114942528736
IF set: {'48', '92', '39', '86', '33'}  THEN set: {'93'}  CONFIDENCE: 0.9139784946236559
IF set: {'39', '86', '33', '14'}  THEN set: {'48', '93'}  CONFIDENCE: 0.8293838862559242
IF set: {'48', '93', '86', '33', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'48', '93', '39', '33', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'93', '39', '86', '33', '14'}  THEN set: {'48'}  CONFIDENCE: 0.9722222222222222
IF set: {'48', '39', '86', '33', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9067357512953368
IF set: {'86', '38', '33', '93'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'39', '38', '33', '93'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'39', '86', '38', '33'}  THEN set: {'93'}  CONFIDENCE: 0.8673469387755102
IF set: {'60', '33'}  THEN set: {'23'}  CONFIDENCE: 0.8585858585858586
IF set: {'23', '33'}  THEN set: {'60'}  CONFIDENCE: 0.9714285714285714
IF set: {'60', '23', '33'}  THEN set: {'38'}  CONFIDENCE: 1.0058823529411764
IF set: {'60', '38', '33'}  THEN set: {'23'}  CONFIDENCE: 0.8636363636363636
IF set: {'38', '23', '33'}  THEN set: {'60'}  CONFIDENCE: 1.0
IF set: {'39', '23', '33'}  THEN set: {'38'}  CONFIDENCE: 0.9941520467836257
IF set: {'23', '33', '14'}  THEN set: {'39'}  CONFIDENCE: 0.967032967032967
IF set: {'60', '33', '14'}  THEN set: {'23'}  CONFIDENCE: 0.8585858585858586
IF set: {'33', '36'}  THEN set: {'38'}  CONFIDENCE: 0.9771428571428571
IF set: {'36', '33', '14'}  THEN set: {'39'}  CONFIDENCE: 0.9611111111111111
IF set: {'39', '33', '36'}  THEN set: {'14'}  CONFIDENCE: 0.9664804469273743
IF set: {'60', '33', '92'}  THEN set: {'38'}  CONFIDENCE: 0.9941860465116279
IF set: {'92', '38', '33'}  THEN set: {'60'}  CONFIDENCE: 0.9715909090909091
IF set: {'60', '38', '33', '14'}  THEN set: {'92'}  CONFIDENCE: 0.8636363636363636
IF set: {'60', '38', '33', '92'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'92', '38', '33', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9715909090909091
IF set: {'60', '33', '14', '92'}  THEN set: {'38'}  CONFIDENCE: 0.9941860465116279
IF set: {'48', '23', '33'}  THEN set: {'14'}  CONFIDENCE: 0.9714285714285714
IF set: {'60', '48', '33'}  THEN set: {'92'}  CONFIDENCE: 0.9941860465116279
IF set: {'48', '38', '33', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9611111111111111
IF set: {'92', '48', '38', '33'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'92', '48', '33', '14'}  THEN set: {'38'}  CONFIDENCE: 0.9664804469273743
IF set: {'60', '48', '38', '33'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'60', '48', '33', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '39', '33'}  THEN set: {'48'}  CONFIDENCE: 0.9148936170212766
IF set: {'60', '39', '38', '33'}  THEN set: {'48'}  CONFIDENCE: 0.9148936170212766
IF set: {'48', '39', '38', '33'}  THEN set: {'60'}  CONFIDENCE: 0.9555555555555556
IF set: {'60', '48', '39', '33'}  THEN set: {'38'}  CONFIDENCE: 1.0
